Epoch [43/50] Step 0 | Loss W: 0.1691 | Loss A: 0.5352
Epoch [43/50] Step 100 | Loss W: 0.1630 | Loss A: 0.3446
Epoch [43/50] Step 200 | Loss W: 0.1041 | Loss A: 0.6895
Epoch [43/50] Step 300 | Loss W: 0.0829 | Loss A: 0.4782
Epoch [43/50] Step 400 | Loss W: 0.1592 | Loss A: 0.5823
Epoch [43/50] Step 500 | Loss W: 0.1440 | Loss A: 0.4430
Epoch [43/50] Step 600 | Loss W: 0.1358 | Loss A: 0.2603
Epoch [43/50] Step 700 | Loss W: 0.1182 | Loss A: 0.3538
Epoch [44/50] Step 0 | Loss W: 0.0758 | Loss A: 0.4091
Epoch [44/50] Step 100 | Loss W: 0.0699 | Loss A: 0.6194
Epoch [44/50] Step 200 | Loss W: 0.0834 | Loss A: 0.4564
Epoch [44/50] Step 300 | Loss W: 0.0876 | Loss A: 0.9122
Epoch [44/50] Step 400 | Loss W: 0.3161 | Loss A: 0.5711
Epoch [44/50] Step 500 | Loss W: 0.0952 | Loss A: 0.4923
Epoch [44/50] Step 600 | Loss W: 0.2005 | Loss A: 0.6134
Epoch [44/50] Step 700 | Loss W: 0.1434 | Loss A: 0.5242
Epoch [45/50] Step 0 | Loss W: 0.1344 | Loss A: 0.4973
Epoch [45/50] Step 100 | Loss W: 0.1878 | Loss A: 0.7859
Epoch [45/50] Step 200 | Loss W: 0.0786 | Loss A: 0.7837
Epoch [45/50] Step 300 | Loss W: 0.1554 | Loss A: 0.6532
Epoch [45/50] Step 400 | Loss W: 0.1252 | Loss A: 0.5408
Epoch [45/50] Step 500 | Loss W: 0.1536 | Loss A: 0.4926
Epoch [45/50] Step 600 | Loss W: 0.1393 | Loss A: 0.5873
Epoch [45/50] Step 700 | Loss W: 0.1708 | Loss A: 0.6050
Epoch [46/50] Step 0 | Loss W: 0.0887 | Loss A: 0.3681
Epoch [46/50] Step 100 | Loss W: 0.1651 | Loss A: 1.1326
Epoch [46/50] Step 200 | Loss W: 0.1655 | Loss A: 0.4540
Epoch [46/50] Step 300 | Loss W: 0.0845 | Loss A: 0.2902
Epoch [46/50] Step 400 | Loss W: 0.1956 | Loss A: 0.6955
Epoch [46/50] Step 500 | Loss W: 0.2504 | Loss A: 0.9261
Epoch [46/50] Step 600 | Loss W: 0.0897 | Loss A: 0.4787
Epoch [46/50] Step 700 | Loss W: 0.1358 | Loss A: 0.9659
